"6,221.30","Suffolk, MA","747,928"
"1,817.90","Middlesex, MA","1,539,832"
"1,536.80","Norfolk, MA","682,860"
914.2,"Essex, MA","757,395"
797.2,"Bristol, MA","551,065"
735.4,"Hampden, MA","466,447"
510.9,"Worcester, MA","806,804"
458.1,"Plymouth, MA","500,772"
294.1,"Hampshire, MA","160,328"
164.8,"Barnstable, MA","215,167"
137.4,"Berkshire, MA","130,064"
98.4,"Franklin, MA","71,300"
34.5,"Dukes, MA","16,915"
34.3,"Nantucket, MA","10,414"
